#################################################################################
#
# name: FusionReactivities.dat
# date: 17 Feb 24
# auth: Zach Hartwig
# mail: hartwig@psfc.mit.edu

# desc: This file contains calculated reactivity (<sigma-v>) data in
#       units of [m3/s] for the four primary fusion fuels as a
#       function of plasma temperature [keV] from 1 to 1000
#       keV. Reactivitiy values were calculated by integrating the
#       relevant cross sections from ENDF/B-VIII.0 over a
#       Maxwell-Boltzmann velocity distribution at a given
#       temperature. Python-based code that plots these reactivities
#       and was modified to generate this data is available here:
#
#       https://scipython.com/blog/nuclear-fusion-cross-sections/
#
#################################################################################
#
#     T          D-T           D-D         D-3He         p-11B
#  [keV]       [m3/s]        [m3/s]        [m3/s]        [m3/s]
#  -----    ----------    ----------    ----------    ----------
   10.72    1.3493e-22    1.3939e-24    3.2965e-25    6.8491e-28
   11.50    1.5885e-22    1.6345e-24    4.4720e-25    1.1231e-27
   12.33    1.8548e-22    1.9088e-24    6.0286e-25    1.8488e-27
   13.22    2.1478e-22    2.2205e-24    8.0776e-25    3.0429e-27
   14.17    2.4667e-22    2.5733e-24    1.0758e-24    4.9828e-27
   15.20    2.8098e-22    2.9711e-24    1.4245e-24    8.0807e-27
   16.30    3.1747e-22    3.4182e-24    1.8750e-24    1.2929e-26
   17.48    3.5586e-22    3.9189e-24    2.4537e-24    2.0355e-26
   18.74    3.9578e-22    4.4780e-24    3.1919e-24    3.1480e-26
   20.09    4.3682e-22    5.1001e-24    4.1270e-24    4.7794e-26
   21.54    4.7851e-22    5.7904e-24    5.3027e-24    7.1253e-26
   23.10    5.2039e-22    6.5540e-24    6.7692e-24    1.0439e-25
   24.77    5.6195e-22    7.3965e-24    8.5829e-24    1.5051e-25
   26.56    6.0269e-22    8.3234e-24    1.0806e-23    2.1389e-25
   28.48    6.4212e-22    9.3406e-24    1.3505e-23    3.0017e-25
   30.54    6.7978e-22    1.0454e-23    1.6749e-23    4.1677e-25
   32.75    7.1525e-22    1.1669e-23    2.0607e-23    5.7360e-25
   35.11    7.4814e-22    1.2994e-23    2.5147e-23    7.8382e-25
   37.65    7.7813e-22    1.4432e-23    3.0429e-23    1.0650e-24
   40.37    8.0494e-22    1.5992e-23    3.6504e-23    1.4403e-24
   43.29    8.2836e-22    1.7680e-23    4.3410e-23    1.9400e-24
   46.42    8.4824e-22    1.9501e-23    5.1167e-23    2.6034e-24
   49.77    8.6450e-22    2.1463e-23    5.9779e-23    3.4798e-24
   53.37    8.7710e-22    2.3572e-23    6.9223e-23    4.6306e-24
   57.22    8.8607e-22    2.5833e-23    7.9457e-23    6.1299e-24
   61.36    8.9148e-22    2.8253e-23    9.0414e-23    8.0646e-24
   65.79    8.9344e-22    3.0837e-23    1.0200e-22    1.0534e-23
   70.55    8.9211e-22    3.3591e-23    1.1412e-22    1.3645e-23
   75.65    8.8768e-22    3.6520e-23    1.2663e-22    1.7513e-23
   81.11    8.8035e-22    3.9628e-23    1.3939e-22    2.2251e-23
   86.97    8.7035e-22    4.2921e-23    1.5225e-22    2.7966e-23
   93.26    8.5792e-22    4.6402e-23    1.6507e-22    3.4751e-23
  100.00    8.4332e-22    5.0074e-23    1.7767e-22    4.2674e-23
  107.23    8.2678e-22    5.3941e-23    1.8992e-22    5.1778e-23
  114.98    8.0857e-22    5.8006e-23    2.0167e-22    6.2066e-23
  123.28    7.8892e-22    6.2272e-23    2.1280e-22    7.3506e-23
  132.19    7.6808e-22    6.6741e-23    2.2319e-22    8.6023e-23
  141.75    7.4628e-22    7.1415e-23    2.3276e-22    9.9505e-23
  151.99    7.2371e-22    7.6296e-23    2.4144e-22    1.1380e-22
  162.98    7.0060e-22    8.1385e-23    2.4919e-22    1.2875e-22
  174.75    6.7712e-22    8.6684e-23    2.5597e-22    1.4414e-22
  187.38    6.5345e-22    9.2194e-23    2.6179e-22    1.5977e-22
  200.92    6.2975e-22    9.7915e-23    2.6668e-22    1.7544e-22
  215.44    6.0615e-22    1.0385e-22    2.7066e-22    1.9096e-22
  231.01    5.8279e-22    1.0999e-22    2.7380e-22    2.0613e-22
  247.71    5.5977e-22    1.1635e-22    2.7616e-22    2.2080e-22
  265.61    5.3720e-22    1.2291e-22    2.7783e-22    2.3485e-22
  284.80    5.1517e-22    1.2969e-22    2.7890e-22    2.4816e-22
  305.39    4.9375e-22    1.3666e-22    2.7945e-22    2.6069e-22
  327.45    4.7300e-22    1.4384e-22    2.7959e-22    2.7237e-22
  351.12    4.5297e-22    1.5122e-22    2.7941e-22    2.8323e-22
  376.49    4.3372e-22    1.5879e-22    2.7902e-22    2.9326e-22
  403.70    4.1527e-22    1.6654e-22    2.7849e-22    3.0251e-22
  432.88    3.9766e-22    1.7447e-22    2.7794e-22    3.1106e-22
  464.16    3.8089e-22    1.8258e-22    2.7742e-22    3.1897e-22
  497.70    3.6499e-22    1.9084e-22    2.7703e-22    3.2634e-22
  533.67    3.4995e-22    1.9925e-22    2.7683e-22    3.3326e-22
  572.24    3.3578e-22    2.0780e-22    2.7689e-22    3.3983e-22
  613.59    3.2247e-22    2.1648e-22    2.7725e-22    3.4616e-22
  657.93    3.0999e-22    2.2528e-22    2.7797e-22    3.5235e-22
  705.48    2.9834e-22    2.3420e-22    2.7909e-22    3.5848e-22
  756.46    2.8749e-22    2.4321e-22    2.8065e-22    3.6466e-22
  811.13    2.7740e-22    2.5232e-22    2.8267e-22    3.7098e-22
  869.75    2.6805e-22    2.6153e-22    2.8518e-22    3.7750e-22
  932.60    2.5940e-22    2.7083e-22    2.8820e-22    3.8431e-22
 1000.00    2.5141e-22    2.8023e-22    2.9175e-22    3.9147e-22
